,trail_id,name,area_name,city_name,state_name,country_name,_geoloc,popularity,length,elevation_gain,difficulty_rating,route_type,visitor_usage,avg_rating,num_reviews,features,activities,units
0,10020048,Harding Ice Field Trail,Kenai Fjords National Park,Seward,AK,United States,"{'lat': 60.18852, 'lng': -149.63156}",24.8931,9.702049720323181,3812.1860256,5,out and back,3.0,5.0,423,"['dogs-no', 'forest', 'river', 'views', 'waterfall', 'wild-flowers', 'wildlife']","['birding', 'camping', 'hiking', 'nature-trips', 'trail-running']",i
1,10236086,Mount Healy Overlook Trail,Denali National Park,Denali National Park,AK,United States,"{'lat': 63.73049, 'lng': -148.91968}",18.0311,4.3009086389061535,1666.0813008000002,3,out and back,1.0,4.5,260,"['dogs-no', 'forest', 'views', 'wild-flowers', 'wildlife']","['birding', 'camping', 'hiking', 'nature-trips', 'walking']",i
2,10267857,Exit Glacier Trail,Kenai Fjords National Park,Seward,AK,United States,"{'lat': 60.18879, 'lng': -149.631}",17.7821,1.800380360472343,269.01312720000004,1,out and back,3.0,4.5,224,"['dogs-no', 'partially-paved', 'views', 'wildlife']","['hiking', 'walking']",i
3,10236076,Horseshoe Lake Trail,Denali National Park,Denali National Park,AK,United States,"{'lat': 63.73661, 'lng': -148.915}",16.2674,2.1004437538844,393.01917840000004,1,loop,2.0,4.5,237,"['dogs-no', 'forest', 'lake', 'kids', 'views', 'wild-flowers', 'wildlife']","['birding', 'hiking', 'nature-trips', 'trail-running', 'walking']",i
4,10236082,Triple Lakes Trail,Denali National Park,Denali National Park,AK,United States,"{'lat': 63.73319, 'lng': -148.89682}",12.5935,18.503909260410193,3690.180072,5,out and back,1.0,4.5,110,"['dogs-no', 'lake', 'views', 'wild-flowers', 'wildlife']","['birding', 'fishing', 'hiking', 'nature-trips', 'trail-running']",i
5,10241620,Bison Gulch,Denali National Park,Denali National Park,AK,United States,"{'lat': 63.80507, 'lng': -148.95336}",8.8331,7.001479179614667,3868.1887584,5,out and back,1.0,4.5,43,"['dogs-no', 'forest', 'views', 'wildlife']","['hiking', 'nature-trips']",i
6,10236080,Rock Creek Trail,Denali National Park,Denali National Park,AK,United States,"{'lat': 63.73056, 'lng': -148.91955}",7.6876,4.400929770043505,944.0460672,3,out and back,1.0,4.0,39,"['dogs-no', 'forest', 'views', 'wild-flowers', 'wildlife']","['birding', 'hiking', 'nature-trips', 'trail-running', 'walking']",i
7,10236075,Taiga Trail,Denali National Park,Denali National Park,AK,United States,"{'lat': 63.73043, 'lng': -148.91922}",5.9038,1.6003380981976383,206.0100528,3,loop,1.0,4.0,27,"['dogs-no', 'forest', 'views', 'wild-flowers', 'wildlife']","['birding', 'hiking', 'nature-trips', 'trail-running', 'walking']",i
8,10236084,McKinley Station Trail,Denali National Park,Denali National Park,AK,United States,"{'lat': 63.73324, 'lng': -148.89659}",5.8885,2.9006128029832197,374.0182512,1,loop,1.0,4.5,21,"['dogs-no', 'forest', 'kids', 'views', 'wild-flowers', 'wildlife']","['birding', 'hiking', 'nature-trips', 'trail-running', 'walking']",i
9,10327620,Mount Thorofare Ridge Loop,Denali National Park,Cantwell,AK,United States,"{'lat': 63.43108, 'lng': -150.31096}",5.799,4.100866376631448,1666.0813008000002,5,loop,1.0,4.5,5,"['forest', 'views', 'wild-flowers', 'wildlife']",['hiking'],i
