,date,home_team,away_team,team,scorer,minute,own_goal,penalty,country,year,continent,lifeExp,pop,gdpPercap
0,1957-01-16,Portugal,Northern Ireland,Portugal,Manuel Vasques,24.0,False,False,Portugal,1957,Europe,61.51,8817650,3774.571743
1,1957-05-26,Portugal,Italy,Portugal,Manuel Vasques,41.0,False,False,Portugal,1957,Europe,61.51,8817650,3774.571743
2,1957-05-26,Portugal,Italy,Portugal,António Dias Teixeira,81.0,False,False,Portugal,1957,Europe,61.51,8817650,3774.571743
3,1957-05-26,Portugal,Italy,Portugal,Matateu,87.0,False,False,Portugal,1957,Europe,61.51,8817650,3774.571743
4,1957-02-10,Guatemala,Costa Rica,Costa Rica,Jorge Monge,11.0,False,False,Costa Rica,1957,Americas,60.026,1112300,2990.010802
5,1957-02-10,Guatemala,Costa Rica,Costa Rica,Rubén Jiménez Rodríguez,17.0,False,False,Costa Rica,1957,Americas,60.026,1112300,2990.010802
6,1957-02-10,Guatemala,Costa Rica,Costa Rica,Jorge Monge,28.0,False,False,Costa Rica,1957,Americas,60.026,1112300,2990.010802
7,1957-02-10,Guatemala,Costa Rica,Costa Rica,Jorge Monge,38.0,False,False,Costa Rica,1957,Americas,60.026,1112300,2990.010802
8,1957-02-10,Guatemala,Costa Rica,Costa Rica,Danilo Montero Campos,48.0,False,False,Costa Rica,1957,Americas,60.026,1112300,2990.010802
9,1957-02-10,Guatemala,Costa Rica,Costa Rica,Álvaro Murillo,78.0,False,False,Costa Rica,1957,Americas,60.026,1112300,2990.010802
10,1957-02-17,Costa Rica,Guatemala,Costa Rica,Rubén Jiménez Rodríguez,12.0,False,False,Costa Rica,1957,Americas,60.026,1112300,2990.010802
11,1957-02-17,Costa Rica,Guatemala,Costa Rica,Mario Cordero,28.0,False,False,Costa Rica,1957,Americas,60.026,1112300,2990.010802
12,1957-02-17,Costa Rica,Guatemala,Costa Rica,Rodolfo Herrera González,65.0,False,False,Costa Rica,1957,Americas,60.026,1112300,2990.010802
13,1957-03-03,Costa Rica,Curaçao,Costa Rica,Rodolfo Herrera González,16.0,False,False,Costa Rica,1957,Americas,60.026,1112300,2990.010802
14,1957-03-03,Costa Rica,Curaçao,Costa Rica,Álvaro Murillo,35.0,False,False,Costa Rica,1957,Americas,60.026,1112300,2990.010802
15,1957-03-03,Costa Rica,Curaçao,Costa Rica,Rodolfo Herrera González,63.0,False,False,Costa Rica,1957,Americas,60.026,1112300,2990.010802
16,1957-03-03,Costa Rica,Curaçao,Costa Rica,Álvaro Murillo,67.0,False,False,Costa Rica,1957,Americas,60.026,1112300,2990.010802
17,1957-08-04,Curaçao,Costa Rica,Costa Rica,Mario Cordero,53.0,False,False,Costa Rica,1957,Americas,60.026,1112300,2990.010802
18,1957-08-04,Curaçao,Costa Rica,Costa Rica,Danilo Montero Campos,60.0,False,False,Costa Rica,1957,Americas,60.026,1112300,2990.010802
19,1957-10-27,Costa Rica,Mexico,Costa Rica,Juan Soto Quiros,32.0,False,False,Costa Rica,1957,Americas,60.026,1112300,2990.010802
20,1957-02-10,Guatemala,Costa Rica,Guatemala,Jorge Vickers,19.0,False,False,Guatemala,1957,Americas,44.142,3640876,2617.155967
21,1957-02-10,Guatemala,Costa Rica,Guatemala,Augusto Espinoza,87.0,False,False,Guatemala,1957,Americas,44.142,3640876,2617.155967
22,1957-02-17,Costa Rica,Guatemala,Guatemala,Francisco López Contreras,61.0,False,False,Guatemala,1957,Americas,44.142,3640876,2617.155967
23,1957-03-14,Guatemala,Curaçao,Guatemala,Francisco López Contreras,51.0,False,False,Guatemala,1957,Americas,44.142,3640876,2617.155967
24,1957-02-10,Sudan,Egypt,Egypt,Raafat Attia,21.0,False,True,Egypt,1957,Africa,44.444,25009741,1458.915272
25,1957-02-10,Sudan,Egypt,Egypt,Ad-Diba,72.0,False,False,Egypt,1957,Africa,44.444,25009741,1458.915272
26,1957-02-16,Egypt,Ethiopia,Egypt,Ad-Diba,2.0,False,False,Egypt,1957,Africa,44.444,25009741,1458.915272
27,1957-02-16,Egypt,Ethiopia,Egypt,Ad-Diba,7.0,False,False,Egypt,1957,Africa,44.444,25009741,1458.915272
28,1957-02-16,Egypt,Ethiopia,Egypt,Ad-Diba,68.0,False,False,Egypt,1957,Africa,44.444,25009741,1458.915272
29,1957-02-16,Egypt,Ethiopia,Egypt,Ad-Diba,89.0,False,False,Egypt,1957,Africa,44.444,25009741,1458.915272
30,1957-02-10,Sudan,Egypt,Sudan,Boraî Bashir,58.0,False,False,Sudan,1957,Africa,39.624,9753392,1770.337074
