,date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,year,continent,lifeExp,pop,gdpPercap
0,1952-02-24,Belgium,Italy,2,0,Friendly,Brussels,Belgium,False,1952,Europe,68.0,8730405,8343.105127
1,1952-04-06,Belgium,Netherlands,4,2,Friendly,Antwerp,Belgium,False,1952,Europe,68.0,8730405,8343.105127
2,1952-05-22,Belgium,France,1,2,Friendly,Brussels,Belgium,False,1952,Europe,68.0,8730405,8343.105127
3,1952-10-19,Belgium,Netherlands,2,1,Friendly,Antwerp,Belgium,False,1952,Europe,68.0,8730405,8343.105127
4,1952-03-16,Chile,Panama,6,1,Pan American Championship,Santiago,Chile,False,1952,Americas,54.745,6377619,3939.978789
5,1952-03-23,Mexico,Uruguay,1,3,Pan American Championship,Santiago,Chile,True,1952,Americas,54.745,6377619,3939.978789
6,1952-03-23,Panama,Peru,1,7,Pan American Championship,Santiago,Chile,True,1952,Americas,54.745,6377619,3939.978789
7,1952-03-26,Chile,Mexico,4,0,Pan American Championship,Santiago,Chile,False,1952,Americas,54.745,6377619,3939.978789
8,1952-03-30,Peru,Uruguay,2,5,Pan American Championship,Santiago,Chile,True,1952,Americas,54.745,6377619,3939.978789
9,1952-04-02,Chile,Peru,3,2,Pan American Championship,Santiago,Chile,False,1952,Americas,54.745,6377619,3939.978789
10,1952-04-06,Brazil,Mexico,2,0,Pan American Championship,Santiago,Chile,True,1952,Americas,54.745,6377619,3939.978789
11,1952-04-06,Panama,Uruguay,1,6,Pan American Championship,Santiago,Chile,True,1952,Americas,54.745,6377619,3939.978789
12,1952-04-10,Brazil,Peru,0,0,Pan American Championship,Santiago,Chile,True,1952,Americas,54.745,6377619,3939.978789
13,1952-04-10,Mexico,Panama,4,2,Pan American Championship,Santiago,Chile,True,1952,Americas,54.745,6377619,3939.978789
14,1952-04-13,Brazil,Panama,5,0,Pan American Championship,Santiago,Chile,True,1952,Americas,54.745,6377619,3939.978789
15,1952-04-13,Chile,Uruguay,2,0,Pan American Championship,Santiago,Chile,False,1952,Americas,54.745,6377619,3939.978789
16,1952-04-16,Brazil,Uruguay,4,2,Pan American Championship,Santiago,Chile,True,1952,Americas,54.745,6377619,3939.978789
17,1952-04-20,Chile,Brazil,0,3,Pan American Championship,Santiago,Chile,False,1952,Americas,54.745,6377619,3939.978789
18,1952-04-20,Mexico,Peru,0,3,Pan American Championship,Santiago,Chile,True,1952,Americas,54.745,6377619,3939.978789
19,1952-03-23,Austria,Belgium,2,0,Friendly,Vienna,Austria,False,1952,Europe,66.8,6927772,6137.076492
20,1952-05-07,Austria,Republic of Ireland,6,0,Friendly,Vienna,Austria,False,1952,Europe,66.8,6927772,6137.076492
21,1952-05-25,Austria,England,2,3,Friendly,Vienna,Austria,False,1952,Europe,66.8,6927772,6137.076492
22,1952-10-19,Austria,France,1,2,Friendly,Vienna,Austria,False,1952,Europe,66.8,6927772,6137.076492
23,1952-03-26,France,Sweden,0,1,Friendly,Paris,France,False,1952,Europe,67.41,42459667,7029.809327
24,1952-04-20,France,Portugal,3,0,Friendly,Colombes,France,False,1952,Europe,67.41,42459667,7029.809327
25,1952-10-05,France,Germany,3,1,Friendly,Colombes,France,False,1952,Europe,67.41,42459667,7029.809327
26,1952-11-11,France,Northern Ireland,3,1,Friendly,Colombes,France,False,1952,Europe,67.41,42459667,7029.809327
27,1952-12-25,France,Belgium,0,1,Friendly,Colombes,France,False,1952,Europe,67.41,42459667,7029.809327
28,1952-05-04,Germany,Republic of Ireland,3,0,Friendly,Cologne,Germany,False,1952,Europe,67.5,69145952,7144.114393
29,1952-11-09,Germany,Switzerland,5,1,Friendly,Augsburg,Germany,False,1952,Europe,67.5,69145952,7144.114393
30,1952-12-21,Germany,Yugoslavia,3,2,Friendly,Ludwigshafen,Germany,False,1952,Europe,67.5,69145952,7144.114393
31,1952-05-11,Romania,Czechoslovakia,3,1,Friendly,Bucharest,Romania,False,1952,Europe,61.05,16630000,3144.613186
32,1952-05-25,Romania,Poland,1,0,Friendly,Bucharest,Romania,False,1952,Europe,61.05,16630000,3144.613186
33,1952-10-26,Romania,German DR,3,1,Friendly,Bucharest,Romania,False,1952,Europe,61.05,16630000,3144.613186
34,1952-05-14,Netherlands,Sweden,0,0,Friendly,Amsterdam,Netherlands,False,1952,Europe,72.13,10381988,8941.571858
35,1952-07-03,Netherlands,Curaçao,3,3,Friendly,Amsterdam,Netherlands,False,1952,Europe,72.13,10381988,8941.571858
36,1952-08-10,Netherlands,Egypt,1,1,Friendly,Amsterdam,Netherlands,False,1952,Europe,72.13,10381988,8941.571858
37,1952-05-18,Hungary,German DR,5,0,Friendly,Budapest,Hungary,False,1952,Europe,64.03,9504000,5263.673816
38,1952-10-19,Hungary,Czechoslovakia,5,0,Friendly,Budapest,Hungary,False,1952,Europe,64.03,9504000,5263.673816
39,1952-05-18,Italy,England,1,1,Friendly,Florence,Italy,False,1952,Europe,65.94,47666000,4931.404155
40,1952-12-28,Italy,Switzerland,2,0,Central European International Cup,Palermo,Italy,False,1952,Europe,65.94,47666000,4931.404155
41,1952-05-18,Poland,Bulgaria,0,1,Friendly,Warsaw,Poland,False,1952,Europe,61.31,25730551,4029.329699
42,1952-06-15,Poland,Hungary,1,5,Friendly,Warsaw,Poland,False,1952,Europe,61.31,25730551,4029.329699
43,1952-08-24,Silesia,China PR,5,1,Friendly,Chorzów,Poland,False,1952,Europe,61.31,25730551,4029.329699
44,1952-09-21,Poland,German DR,3,0,Friendly,Warsaw,Poland,False,1952,Europe,61.31,25730551,4029.329699
45,1952-05-25,Denmark,Scotland,1,2,Friendly,Copenhagen,Denmark,False,1952,Europe,70.78,4334000,9692.385245
46,1952-09-21,Denmark,Netherlands,3,2,Friendly,Copenhagen,Denmark,False,1952,Europe,70.78,4334000,9692.385245
47,1952-10-19,Denmark,Norway,1,3,Nordic Championship,Copenhagen,Denmark,False,1952,Europe,70.78,4334000,9692.385245
48,1952-05-28,Switzerland,England,0,3,Friendly,Zürich,Switzerland,False,1952,Europe,69.62,4815000,14734.23275
49,1952-06-22,Switzerland,Austria,1,1,Friendly,Geneva,Switzerland,False,1952,Europe,69.62,4815000,14734.23275
50,1952-09-20,Switzerland,Hungary,2,4,Central European International Cup,Berne,Switzerland,False,1952,Europe,69.62,4815000,14734.23275
51,1952-05-30,Sweden,Scotland,3,1,Friendly,Solna,Sweden,False,1952,Europe,71.86,7124673,8527.844662
